students,education level,gender,2013 Enrollments,2014 Enrollments,2015 Enrollments
d-105645,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-105695,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-105818,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-105859,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-105893,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-105934,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-105947,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-106179,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-106255,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-106259,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-106555,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-106842,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-106871,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-106896,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-107245,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-107335,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-107475,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-107572,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-107800,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-108184,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-108196,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-108441,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-108652,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-108716,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-108812,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-108832,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-108868,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-108926,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-108928,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-108948,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-108994,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-109009,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-109055,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-109105,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-109134,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-109179,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-110302,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-110406,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-110548,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-110644,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-110658,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-110659,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-110694,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-110724,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-110863,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-111006,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-111032,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-111172,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-111195,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-111328,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-111348,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-111389,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-111644,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-111657,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-111717,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-111809,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-112169,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-112203,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-112307,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
d-112321,Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
