ticker,rank,quarter,nominal,real,relative
JNPR,0,01/01/88,0,0,0.0
IT,0,01/01/88,0,0,0.0
INTU,0,01/01/88,0,0,0.0
IMS,0,01/01/88,0,0,0.0
IM,0,01/01/88,0,0,0.0
IACI,0,01/01/88,0,0,0.0
GRMN,0,01/01/88,0,0,0.0
GOOGL,0,01/01/88,0,0,0.0
GDDY,0,01/01/88,0,0,0.0
FTNT,0,01/01/88,0,0,0.0
FSL,0,01/01/88,0,0,0.0
FFIV,0,01/01/88,0,0,0.0
FEYE,0,01/01/88,0,0,0.0
FB,0,01/01/88,0,0,0.0
EPAM,0,01/01/88,0,0,0.0
EBAY,0,01/01/88,0,0,0.0
DST,0,01/01/88,0,0,0.0
DOX,0,01/01/88,0,0,0.0
DATA,0,01/01/88,0,0,0.0
CTXS,0,01/01/88,0,0,0.0
CTSH,0,01/01/88,0,0,0.0
CSCO,0,01/01/88,0,0,0.0
CRM,0,01/01/88,0,0,0.0
COMM,0,01/01/88,0,0,0.0
CHKP,0,01/01/88,0,0,0.0
CDW,0,01/01/88,0,0,0.0
CDKVV,0,01/01/88,0,0,0.0
BRCM,0,01/01/88,0,0,0.0
BRCD,0,01/01/88,0,0,0.0
AVGO,0,01/01/88,0,0,0.0
ATHN,0,01/01/88,0,0,0.0
ARRS,0,01/01/88,0,0,0.0
ANSS,0,01/01/88,0,0,0.0
ANET,0,01/01/88,0,0,0.0
AMZN,0,01/01/88,0,0,0.0
AKAM,0,01/01/88,0,0,0.0
894898,0,01/01/88,0,0,0.0
IBM,1,04/01/88,68020.0,137707.0,0.557025050568
HPQ,2,04/01/88,15135.0,30640.0,0.123942577776
MSI,3,04/01/88,6271.0,12696.0,0.0513540736858
INTC,4,04/01/88,5432.0,10998.0,0.044483388337
AAPL,5,04/01/88,5204.0,10536.0,0.0426162652625
TXN,6,04/01/88,3715.0,7521.0,0.030422641324
PBI,7,04/01/88,3344.0,6770.0,0.0273844717598
MSFT,8,04/01/88,3114.0,6304.0,0.0255009704127
GLW,9,04/01/88,2377.0,4813.0,0.0194655769656
CA,10,04/01/88,2169.0,4392.0,0.0177622366169
HRS,11,04/01/88,1198.0,2424.0,0.00981058527757
ORCL,12,04/01/88,988.0,2000.0,0.00809086665629
ADSK,13,04/01/88,663.0,1342.0,0.00542939736146
CSC,14,04/01/88,662.0,1340.0,0.00542120822517
ADI,15,04/01/88,640.0,1295.0,0.00524104722675
MU,16,04/01/88,557.0,1128.0,0.00456134891453
AMAT,17,04/01/88,454.0,918.0,0.00371786787648
WDC,18,04/01/88,415.0,840.0,0.0033984915611
ADBE,19,04/01/88,362.0,733.0,0.00296446733763
KLAC,20,04/01/88,336.0,681.0,0.00275154979404
TYL,21,04/01/88,239.0,484.0,0.00195720357374
EMC,22,04/01/88,207.0,418.0,0.0016951512124
LLTC,23,04/01/88,198.0,402.0,0.00162144898578
ALTR,24,04/01/88,113.0,230.0,0.000925372400973
CDNS,25,04/01/88,81.0,164.0,0.000663320039635
CERN,26,04/01/88,77.0,155.0,0.000630563494468
LRCX,27,04/01/88,57.0,115.0,0.000466780768632
MXIM,28,04/01/88,50.0,102.0,0.00040945681459
SWKS,29,04/01/88,35.0,72.0,0.000286619770213
YHOO,0,04/01/88,0,0,0.0
XLNX,0,04/01/88,0,0,0.0
WDAY,0,04/01/88,0,0,0.0
VRSN,0,04/01/88,0,0,0.0
VMW,0,04/01/88,0,0,0.0
