education level,gender,2013 Enrollments,2014 Enrollments,2015 Enrollments
College,female,IVMOOC-2013,Not Enrolled,IVMOOC-2015
College,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Graduate,female,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Graduate,female,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Graduate,female,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
High School,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
High School,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
High School,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Ph.D.,female,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Ph.D.,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Ph.D.,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Unknown,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
Graduate,male,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,Not Enrolled,IVMOOC-2015
